F1 (400nm),F2 (424nm),FZ (450nm),F3 (473nm),F4 (514nm),FY (555nm),F5 (547nm),FXL (595nm),F6 (635nm),F7 (685nm),F8 (745nm)
205,284,443,425,441,3088,198,5965,9734,5601,562
1645,2119,4947,4236,6393,8175,2309,7289,7562,4776,548
280,494,1371,1291,2201,3148,868,3056,3461,2361,295
280,493,1371,1293,2201,3148,867,3058,3462,2362,295
145,205,864,971,3302,2376,878,1039,594,536,94
310,504,1264,1180,3335,5947,1553,6502,7748,5526,689
311,505,1262,1181,3334,5944,1553,6495,7749,5524,689
1647,2120,4948,4236,6393,8172,2307,7291,7557,4776,549
1661,2187,5145,4427,6605,8611,2411,7815,8271,5341,629
311,505,1263,1181,3336,5947,1554,6498,7747,5525,689
1646,2119,4942,4231,6386,8166,2308,7283,7552,4774,549
145,205,864,971,3301,2376,877,1039,593,536,94
99,254,592,393,733,1091,291,1035,913,536,67
1644,2117,4946,4235,6391,8171,2307,7286,7559,4772,548
1661,2189,5145,4427,6605,8611,2410,7817,8271,5342,629
32,49,106,106,150,210,58,201,256,209,30
1663,2191,5145,4427,6608,8612,2410,7815,8270,5343,630
98,258,630,401,742,1149,287,1084,931,538,67
1660,2185,5152,4431,6608,8619,2412,7819,8274,5344,628
1662,2190,5146,4427,6606,8610,2411,7814,8272,5345,629
145,205,863,970,3302,2377,877,1039,593,536,94
1662,2190,5151,4431,6611,8620,2412,7824,8277,5347,629
310,503,1265,1182,3337,5946,1554,6501,7753,5526,688
145,205,862,970,3300,2376,878,1039,594,537,94
32,48,106,106,150,209,58,201,254,209,30
145,205,864,971,3301,2377,877,1039,593,537,94
205,284,443,426,441,3089,198,5963,9730,5602,562
1647,2123,4948,4234,6391,8174,2307,7290,7558,4774,549
96,189,432,331,547,873,225,870,829,499,62
205,285,442,425,441,3088,198,5965,9737,5608,562
85,246,556,386,708,1014,253,958,890,483,60
205,284,443,425,441,3086,198,5963,9730,5603,561
310,504,1264,1182,3336,5950,1554,6503,7753,5525,689
205,284,443,426,441,3092,198,5972,9749,5611,562
280,493,1372,1293,2202,3150,869,3057,3465,2364,295
311,504,1264,1180,3334,5946,1553,6498,7748,5524,689
279,493,1371,1292,2202,3148,868,3057,3462,2362,295
205,285,443,425,441,3088,198,5965,9729,5600,561
93,244,574,375,703,1062,278,1015,890,516,64
32,49,106,106,150,210,58,201,255,209,30
310,504,1265,1182,3338,5952,1555,6506,7760,5529,689
205,284,442,426,442,3088,198,5967,9739,5606,562
311,504,1262,1180,3333,5944,1553,6496,7748,5524,689
32,49,106,106,150,211,58,203,258,211,30
205,284,442,425,441,3089,198,5968,9738,5606,562
1645,2118,4942,4231,6388,8164,2306,7282,7555,4769,548
97,258,603,401,740,1107,288,1050,922,530,66
205,285,443,425,441,3088,198,5968,9739,5608,563
279,492,1373,1293,2200,3148,868,3057,3464,2361,294
32,49,107,106,150,211,58,203,257,211,30
1646,2122,4946,4235,6392,8171,2308,7287,7558,4775,549
1648,2122,4953,4239,6398,8181,2310,7297,7568,4779,549
145,205,863,970,3302,2376,877,1039,593,536,94
205,284,442,425,441,3090,198,5965,9735,5606,562
1661,2189,5144,4426,6604,8607,2410,7811,8271,5342,629
145,205,863,969,3300,2376,877,1039,593,536,94
1663,2189,5144,4427,6605,8611,2411,7814,8270,5343,629
98,234,503,380,681,980,286,953,904,539,67
280,493,1371,1292,2199,3148,868,3054,3460,2361,295
94,194,449,337,563,899,229,890,837,500,62
32,49,107,106,150,211,58,203,257,211,30
1661,2189,5142,4426,6603,8609,2409,7811,8267,5342,628
205,284,441,425,441,3087,198,5963,9732,5603,562
280,493,1371,1292,2202,3147,868,3055,3461,2361,295
1661,2187,5148,4428,6609,8611,2412,7818,8275,5341,628
98,254,597,397,734,1101,290,1046,916,535,67
205,285,443,426,442,3090,198,5970,9745,5613,562
