F1 (400nm),F2 (424nm),FZ (450nm),F3 (473nm),F4 (514nm),FY (555nm),F5 (547nm),FXL (595nm),F6 (635nm),F7 (685nm),F8 (745nm),Fat(gm),calories(gm)
145,205,864,970,3302,2376,877,1039,593,536,94,3.58,63.980000000000004
145,205,863,970,3302,2376,877,1039,593,536,94,3.47,63.11
145,205,863,969,3300,2376,877,1039,593,536,94,3.51,61.51
145,205,863,970,3302,2377,877,1039,593,536,94,3.4,62.12
145,205,863,970,3300,2374,877,1039,593,536,94,3.54,62.66
145,205,864,971,3302,2376,878,1039,594,536,94,3.54,63.81999999999999
145,205,864,971,3301,2377,877,1039,593,537,94,3.13,57.81
145,205,864,971,3301,2376,877,1039,593,536,94,3.47,61.870000000000005
145,205,862,970,3300,2376,878,1039,594,537,94,4.07,69.31
145,205,862,970,3300,2377,877,1039,594,536,94,4.21,70.45
145,206,863,970,3299,2376,877,1039,593,536,94,3.57,63.97
145,205,863,970,3297,2376,878,1039,593,535,94,3.53,62.849999999999994
145,206,864,971,3302,2377,877,1039,594,537,94,3.54,62.18
1660,2185,5152,4431,6608,8619,2412,7819,8274,5344,628,3.9,66.98
1661,2187,5148,4428,6609,8611,2412,7818,8275,5341,628,3.4,60.92
1660,2187,5145,4428,6609,8611,2412,7813,8273,5345,629,3.59,62.59
1661,2187,5145,4427,6605,8611,2411,7815,8271,5341,629,3.78,69.3
1662,2190,5151,4431,6611,8620,2412,7824,8277,5347,629,4.04,68.24
1662,2187,5145,4429,6605,8612,2412,7814,8273,5345,629,4.15,69.43
1661,2189,5145,4427,6605,8611,2410,7817,8271,5342,629,3.44,62.84
1661,2189,5142,4426,6603,8609,2409,7811,8267,5342,628,4.01,66.53
1661,2189,5144,4426,6604,8607,2410,7811,8271,5342,629,3.49,62.050000000000004
1662,2189,5146,4427,6604,8610,2409,7813,8270,5344,628,3.69,64.45
1663,2189,5144,4427,6605,8611,2411,7814,8270,5343,629,3.5,62.74
1662,2190,5146,4427,6606,8610,2411,7814,8272,5345,629,4.2,70.08
1663,2191,5145,4427,6608,8612,2410,7815,8270,5343,630,3.3,60.34
1643,2114,4948,4237,6393,8173,2308,7287,7559,4772,547,3.42,61.46
1644,2117,4946,4235,6391,8171,2307,7286,7559,4772,548,4.17,69.65
1645,2119,4947,4236,6393,8175,2309,7289,7562,4776,548,3.78,65.82
1648,2122,4953,4239,6398,8181,2310,7297,7568,4779,549,3.85,67.49
1646,2121,4950,4238,6396,8175,2308,7291,7564,4775,548,2.73,57.81
1645,2117,4944,4234,6393,8168,2306,7287,7555,4772,548,3.37,61.61
1645,2118,4942,4231,6388,8164,2306,7282,7555,4769,548,4.58,74.46
1644,2118,4943,4234,6388,8169,2307,7283,7555,4771,548,3.46,62.580000000000005
1646,2119,4942,4231,6386,8166,2308,7283,7552,4774,549,3.21,61.010000000000005
1647,2120,4948,4236,6393,8172,2307,7291,7557,4776,549,3.36,62.39999999999999
1647,2123,4948,4234,6391,8174,2307,7290,7558,4774,549,3.73,64.89
1646,2122,4946,4235,6392,8171,2308,7287,7558,4775,549,3.74,65.02000000000001
310,503,1265,1182,3337,5946,1554,6501,7753,5526,688,4.13,68.01
